title,artist(s),release,num_of_streams,bpm,key,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness
Blinding Lights,The Weeknd,2019,3703895074,171,C-sharp,Major,50,38,80,0,0,9,7
Shape of You,Ed Sheeran,2017,3562543890,96,C-sharp,Minor,83,93,65,58,0,9,8
Someone You Loved,Lewis Capaldi,2018,2887241814,110,C-sharp,Major,50,45,41,75,0,11,3
Dance Monkey,Tones and I,2019,2864791672,98,F-sharp,Minor,82,54,59,69,0,18,10
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone . Swae Lee,2018,2808096550,90,D,Major,76,91,50,54,0,7,5
One Dance,Drake . WizKid . Kyla,2016,2713922350,104,C-sharp,Major,77,36,63,1,0,36,5
STAY (with Justin Bieber),Justin Bieber . The Kid Laroi,2021,2665343922,170,C-sharp,Major,59,48,76,4,0,10,5
Believer,Imagine Dragons,2017,2594040133,125,A-sharp,Minor,77,74,78,4,0,23,11
Closer,The Chainsmokers . Halsey,2016,2591224264,95,G-sharp,Major,75,64,52,41,0,11,3
Starboy,The Weeknd . Daft Punk,2016,2565529693,186,G,Major,68,49,59,16,0,13,28
Perfect,Ed Sheeran,2017,2559529074,95,G-sharp,Major,60,17,45,16,0,11,2
Heat Waves,Glass Animals,2020,2557975762,81,B,Major,76,53,53,44,0,9,9
As It Was,Harry Styles,2022,2513188493,174,F-sharp,Minor,52,66,73,34,0,31,6
Say You Won't Let Go,James Arthur,2016,2420461338,99,A-sharp,Major,40,45,56,69,0,9,5
lovely - Bonus Track,Billie Eilish . Khalid,2017,2355719893,115,E,Minor,35,12,30,93,0,10,3
Watermelon Sugar,Harry Styles,2019,2322580122,95,unknown,Major,55,56,82,12,0,34,5
